year,artist,track,length,genre,first_apperence,highest_data,weeks_active,number_1_weeks
2000,"Levert, Gerald",Baby U Are,4:10,R&B,2000-08-19,2000-08-26,5,0.0
2000,"Hart, Beth",L.A. Song,3:47,Country,1999-11-27,2000-01-15,12,0.0
2000,"Diffie, Joe",The Quittin' Kind,3:23,Country,2000-01-01,2000-01-22,6,0.0
2000,Funkmaster Flex,Do You,4:14,Rap,2000-11-11,2000-12-02,7,0.0
2000,"Price, Kelly",Love Sets You Free,3:46,Rock,2000-05-13,2000-05-20,4,0.0
2000,En Vogue,Riddle,5:10,Rock,2000-06-17,2000-06-17,4,0.0
2000,"Herndon, Ty",No Mercy,4:43,Country,2000-03-18,2000-05-06,8,0.0
2000,Anastacia,I'm Outta Love,4:01,Pop,2000-04-01,2000-04-01,3,0.0
2000,Trina,Pull Over,2:58,Rap,2000-09-09,2000-09-16,4,0.0
2000,Lil' Mo,Ta Da,4:17,Rap,2000-08-12,2000-09-16,7,0.0
2000,A*Teens,Dancing Queen,3:44,Pop,2000-07-08,2000-07-29,5,0.0
2000,"Sheist, Shade",Where I Wanna Be,4:16,Rap,2000-11-11,2000-11-18,5,0.0
2000,De La Soul,All Good?,5:02,Rap,2000-12-23,2000-12-23,3,0.0
2000,"Larrieux, Amel",Get Up,4:02,R&B,2000-03-04,2000-03-11,3,0.0
2000,"Braxton, Toni",Spanish Guitar,4:24,Rock,2000-12-02,2000-12-02,3,0.0
2000,Tuesday,I Know,4:06,Rock,2000-12-30,2000-12-30,2,0.0
2000,LL Cool J,Imagine That,4:00,Rap,2000-08-12,2000-08-19,2,0.0
2000,Master P,Souljas,3:33,Rap,2000-11-18,2000-11-18,1,0.0
2000,Ghostface Killah,Cherchez LaGhost,3:04,R&B,2000-08-05,2000-08-05,1,0.0
2000,"Smith, Will",Freakin' It,3:58,Rap,2000-02-12,2000-02-12,4,0.0
2000,Zombie Nation,Kernkraft 400,3:30,Rock,2000-09-02,2000-09-02,2,0.0
2000,"Eastsidaz, The",Got Beef,3:58,Rap,2000-07-01,2000-07-01,2,0.0
2000,Fragma,Toca's Miracle,3:22,R&B,2000-10-28,2000-10-28,1,0.0
